               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.053071,            0.014772,                   0,             0.48803,             0.42799,             0.36793,             0.10211,            0.054542,            0.010671,                   0,            0.009684,            0.009684,            0.009684
                  38,            0.050089,            0.014302,                   0,             0.50282,             0.59184,             0.49599,             0.15452,            0.051982,            0.010449,                   0,           0.0096664,           0.0096664,           0.0096664
                  39,            0.050886,            0.013934,                   0,             0.47231,             0.36054,             0.31358,            0.088115,            0.058547,            0.010889,                   0,           0.0096484,           0.0096484,           0.0096484
                  40,            0.052262,            0.013647,                   0,             0.68347,             0.61694,              0.5542,               0.141,            0.052159,           0.0097246,                   0,           0.0096299,           0.0096299,           0.0096299
                  41,            0.050407,             0.01434,                   0,             0.75205,             0.57773,             0.63938,             0.19982,            0.049067,           0.0090568,                   0,            0.009611,            0.009611,            0.009611
                  42,            0.049056,            0.013548,                   0,             0.59474,             0.61905,             0.60939,             0.20193,            0.048923,           0.0098972,                   0,           0.0095916,           0.0095916,           0.0095916
                  43,            0.047867,            0.013699,                   0,              0.7437,             0.57823,             0.60998,             0.20975,            0.048261,           0.0093048,                   0,           0.0095717,           0.0095717,           0.0095717
                  44,            0.049573,            0.013095,                   0,              0.7547,             0.54416,             0.61987,             0.19048,            0.048057,           0.0092904,                   0,           0.0095514,           0.0095514,           0.0095514
                  45,            0.049154,            0.013135,                   0,             0.69646,             0.68679,             0.69576,             0.24247,            0.045366,           0.0088901,                   0,           0.0095307,           0.0095307,           0.0095307
                  46,            0.045897,            0.013655,                   0,             0.74265,             0.65986,             0.67792,             0.22294,             0.04794,           0.0092695,                   0,           0.0095095,           0.0095095,           0.0095095
                  47,             0.04927,            0.012966,                   0,              0.7476,             0.64626,             0.64149,             0.20838,            0.048003,           0.0091371,                   0,           0.0094879,           0.0094879,           0.0094879
                  48,            0.047778,            0.013049,                   0,             0.72388,             0.71338,             0.70948,             0.24172,            0.048351,           0.0092461,                   0,           0.0094659,           0.0094659,           0.0094659
                  49,            0.047905,             0.01341,                   0,             0.42641,             0.52381,             0.46917,             0.15178,            0.048932,            0.011529,                   0,           0.0094434,           0.0094434,           0.0094434
                  50,            0.046779,            0.012853,                   0,             0.72783,             0.61853,              0.6589,             0.24942,            0.046839,           0.0089108,                   0,           0.0094205,           0.0094205,           0.0094205
                  51,            0.045424,            0.013106,                   0,             0.68093,             0.53716,             0.56788,             0.18576,             0.04965,           0.0093727,                   0,           0.0093971,           0.0093971,           0.0093971
                  52,            0.045705,            0.012603,                   0,             0.78813,             0.63263,             0.68445,             0.25038,            0.046942,           0.0088984,                   0,           0.0093733,           0.0093733,           0.0093733
                  53,            0.046025,             0.01257,                   0,             0.71834,             0.65927,             0.60916,             0.21228,            0.047554,           0.0087047,                   0,           0.0093491,           0.0093491,           0.0093491
                  54,            0.045726,            0.012953,                   0,             0.76048,             0.58503,             0.67012,             0.20363,            0.048571,           0.0087656,                   0,           0.0093245,           0.0093245,           0.0093245
                  55,            0.045065,            0.012474,                   0,             0.80619,             0.70748,              0.7479,             0.27638,            0.044911,           0.0086784,                   0,           0.0092995,           0.0092995,           0.0092995
                  56,            0.044964,            0.012919,                   0,             0.79686,             0.34691,             0.42843,             0.13644,            0.055859,            0.012423,                   0,            0.009274,            0.009274,            0.009274
                  57,            0.044861,            0.011604,                   0,              0.7416,             0.66667,             0.67276,             0.22399,            0.047465,           0.0086801,                   0,           0.0092481,           0.0092481,           0.0092481
                  58,            0.043293,            0.012128,                   0,             0.78807,             0.80949,             0.79368,             0.30293,            0.044053,           0.0087211,                   0,           0.0092219,           0.0092219,           0.0092219
                  59,              0.0449,            0.011827,                   0,             0.71771,             0.65986,             0.68994,             0.28374,            0.046267,           0.0084769,                   0,           0.0091952,           0.0091952,           0.0091952
                  60,             0.04275,            0.011755,                   0,             0.88372,             0.77549,             0.82098,             0.32699,            0.042591,           0.0079055,                   0,           0.0091681,           0.0091681,           0.0091681
                  61,            0.043969,            0.011687,                   0,             0.85705,             0.69333,             0.78698,              0.3207,             0.04426,           0.0082186,                   0,           0.0091406,           0.0091406,           0.0091406
                  62,            0.043054,            0.012205,                   0,             0.88198,             0.71429,             0.79134,             0.33465,            0.044417,           0.0079546,                   0,           0.0091127,           0.0091127,           0.0091127
                  63,            0.043204,            0.012429,                   0,             0.77774,             0.76173,             0.76336,             0.29617,            0.045243,           0.0077923,                   0,           0.0090844,           0.0090844,           0.0090844
                  64,             0.04267,            0.011065,                   0,             0.86876,             0.76871,             0.81921,             0.37155,            0.042656,           0.0079351,                   0,           0.0090557,           0.0090557,           0.0090557
                  65,            0.042034,            0.011248,                   0,             0.81676,             0.72773,             0.76602,             0.29834,            0.042701,           0.0080885,                   0,           0.0090266,           0.0090266,           0.0090266
                  66,            0.043012,            0.011257,                   0,             0.87367,             0.75277,             0.82046,             0.34053,            0.043463,           0.0077475,                   0,           0.0089972,           0.0089972,           0.0089972
                  67,            0.041904,            0.011364,                   0,             0.87991,             0.74764,             0.80025,             0.32645,            0.043557,           0.0080008,                   0,           0.0089673,           0.0089673,           0.0089673
                  68,            0.043636,            0.011824,                   0,             0.84145,              0.7415,              0.7863,             0.32744,            0.043716,           0.0079805,                   0,           0.0089371,           0.0089371,           0.0089371
                  69,            0.041796,            0.011467,                   0,              0.8983,             0.72106,             0.80091,              0.3332,            0.042776,           0.0078603,                   0,           0.0089065,           0.0089065,           0.0089065
                  70,            0.041307,            0.011129,                   0,             0.81779,             0.79592,             0.84265,             0.37215,            0.042655,           0.0075929,                   0,           0.0088755,           0.0088755,           0.0088755
                  71,            0.039905,            0.010934,                   0,             0.79246,             0.80952,             0.81947,             0.36427,            0.041807,           0.0078302,                   0,           0.0088442,           0.0088442,           0.0088442
                  72,            0.041762,            0.011759,                   0,             0.78735,             0.73469,             0.78029,             0.33519,            0.044316,           0.0079472,                   0,           0.0088124,           0.0088124,           0.0088124
                  73,            0.041844,            0.010919,                   0,             0.68517,              0.7415,             0.74432,             0.29121,            0.046652,           0.0087794,                   0,           0.0087804,           0.0087804,           0.0087804
                  74,            0.039146,            0.011488,                   0,             0.78494,             0.82313,             0.78682,               0.323,            0.043506,           0.0078775,                   0,           0.0087479,           0.0087479,           0.0087479
                  75,            0.038989,             0.01085,                   0,             0.86663,             0.79592,             0.82364,             0.35078,            0.042235,           0.0075541,                   0,           0.0087151,           0.0087151,           0.0087151
                  76,            0.040472,            0.011268,                   0,             0.88617,              0.7414,             0.79791,             0.33001,            0.043011,           0.0074903,                   0,            0.008682,            0.008682,            0.008682
                  77,            0.039964,             0.01086,                   0,             0.82608,             0.84354,             0.83313,             0.38143,            0.041123,            0.007404,                   0,           0.0086485,           0.0086485,           0.0086485
